Completed Algo PF in 0 seconds.
Schedule:
time	v	w	x	y	z	a	
0	1	0	0	1	0	0	
1	0	0	1	1	0	0	
2	1	1	0	0	0	0	
3	0	0	1	0	1	0	
4	1	0	0	1	0	0	
5	0	0	1	1	0	0	
6	0	1	0	0	0	1	
7	0	0	0	1	1	0	
8	1	0	1	0	0	0	
9	1	0	0	1	0	0	
10	0	1	1	0	0	0	
11	0	0	0	1	1	0	
12	1	0	0	1	0	0	
13	0	0	1	0	0	1	
14	1	1	0	0	0	0	
15	0	0	0	1	1	0	
16	1	0	1	0	0	0	
17	0	1	0	1	0	0	
18	1	0	1	0	0	0	
19	0	0	0	1	1	0	

Max Lags: 
v: 0.428571 @ 8
w: 0.5 @ 2
x: 0.4 @ 16
y: 0.363637 @ 19
z: 0.705882 @ 3
a: 0.844079 @ 6
