0	0.00000000000000000000	3.00000000000000000000	S0
0	3.00000000000000000000	5.00000000000000000000	A
1	4.00000000000000000000	7.00000000000000000000	S0
0	5.00000000000000000000	8.00000000000000000000	S2
1	7.00000000000000000000	11.00000000000000000000	A
2	8.00000000000000000000	11.00000000000000000000	S0
1	11.00000000000000000000	14.00000000000000000000	S2
2	11.00000000000000000000	14.00000000000000000000	A
3	12.00000000000000000000	15.00000000000000000000	S0
2	14.00000000000000000000	17.00000000000000000000	S2
3	15.00000000000000000000	19.00000000000000000000	A
4	16.00000000000000000000	19.00000000000000000000	S0
3	19.00000000000000000000	22.00000000000000000000	S2
4	19.00000000000000000000	22.00000000000000000000	A
5	20.00000000000000000000	23.00000000000000000000	S0
4	22.00000000000000000000	25.00000000000000000000	S2
5	23.00000000000000000000	27.00000000000000000000	A
5	27.00000000000000000000	30.00000000000000000000	S2
